ID,nom,fonction,annees,statut,parent,public,similaire-a,wikidata,comptoir-du-libre,licence,secteur,composant,contexte-usage,groupe,version
110,Packer,Déploiement,2018 ; 2019 ; 2020,O,,,,,228,,Opérations,Outils système & virtualisation,Services déconcentrés,MIMPROD,Distribution
111,PDF (impression de pdf),Export en pdf des fiches GLPI,2018 ; 2019 ; 2020,R,GLPI,,,,299,AGPL-3.0,Opérations,Déploiement gestion d’actif et de configuration,,MIMO,1.5
112,PDFSam Basic,"Outil de fusion, extraction et découpage de fichiers PDF. Il permet aussi de changer le sens des pages.",2018 ; 2019 ; 2020,R,,,,Q3898451,169,AGPL-3.0,Espace utilisateur et canal,Consultation et édition de documents,,MIMO,4.0
114,PHPBB,Forum,2018 ; 2019 ; 2020,FR,,,,Q14270,199,,Orchestration & logique métier,Outil collaboratif,Utilisé au sein d'une forge.,MIMDEV,3.0.9
115,PortraitOrLandscape,Orientation de la page,2018 ; 2019 ; 2020,R,LibreOffice,,,,,LGPL-3.0-only,Espace utilisateur et canal,Consultation et édition de documents,,MIMO,2
116,Postfix,Messagerie system,2018 ; 2019 ; 2020,R,,,,Q1121334,216,,Intégration & Échanges,Serveur SMTP,Services déconcentrés,MIMPROD,Distribution
117,PostGIS,Base de données Géomatique,2018 ; 2019 ; 2020,R,,,,Q1569955,207,,Données et contenu,Bd Relationnelles,Information géographique,MIMPROD,2.4
118,PostgreSQL,Base de données transactionnelle,2018 ; 2019 ; 2020,R,,,,Q192490,123,,Données et contenu,Bd Relationnelles,Base de production,MIMPROD,10
119,ProjectLibre,Gestion de projet,2018 ; 2019 ; 2020,R,,,,Q580985,59,CPA,Espace utilisateur et canal,Outil de productivité,,MIMO,1.9.1
120,Qgis,Système d’information géographique,2018 ; 2019 ; 2020,R,,,,Q1329181,60,GPL-2.0-only,Orchestration et logique métier,Moteur SIG,,MIMO,3.10
121,Qwant (extension de recherche),Plugin pour l'ajout du moteur de recherche Qwant,2018 ; 2019 ; 2020,R,Firefox,,,,,X11,Espace utilisateur et canal,Navigateur web,,MIMO,5
122,Redmine,Portail de gestion de projet,2018 ; 2019 ; 2020,R,,,,Q1149365,197,,Orchestration & logique métier,Outil collaboratif,,MIMDEV,3.X
123,Reports (rapports),Rapports supplémentaires à ceux inclus par défaut dans GLPI,2018 ; 2019 ; 2020,R,GLPI,,,,298,AGPL-3.0,Opérations,Déploiement gestion d’actif et de configuration,,MIMO,1.12.1
124,Rocketchat,Messagerie instantanée,2018 ; 2019 ; 2020,R,,,,Q24050001,200,,Espace utilisateur et canal,Messagerie agenda contacts,,MIMO,
125,Rundeck,Orchestration,2018 ; 2019 ; 2020,O,,,,,229,,Opérations,Outils système & virtualisation,Conteneurs,MIMPROD,Distribution
126,SaltStack,Déploiement,2018 ; 2019 ; 2020,R,,,,Q7405800,224,,Opérations,Outils système & virtualisation,Services déconcentrés,MIMPROD,Distribution
127,Samba,Partage de fichiers,2018 ; 2019 ; 2020,R,,,,Q1830735,142,,Stockage,Partage de fichiers,Infra virtuelle,MIMPROD,4.9
128,Scribus,PAO,2018 ; 2019 ; 2020,R,,,,Q8295,76,GPL-2.0-only,Espace utilisateur et canal,Consultation et édition de documents,,MIMO,1.5
129,Selenium IDE,Automatisation des tests Web,2018 ; 2019,R,,,,Q752522,311,,Conception & Développement,Test & Intégration,,MIMDEV,3.14
130,Selenium Server,Automatisation des tests Web,2018 ; 2019 ; 2020,R,,,,,188,,Conception & Développement,Test & Intégration,,MIMDEV,3.14
131,Shinken,Supervision Infrastructure et composants,2019 ; 2020,R,,,,,302,,Opérations,Supervision / Hypervision,Infra virtuelle,MIMPROD,2.4.3
132,SoapUI,Outil d'aide aux tests techniques,2018 ; 2019 ; 2020,R,,,,Q2296314,186,,Conception & Développement,Test & Intégration,Tests orientés Web Services,MIMDEV,5.4.0
133,SonarQube,Tableau de bord d'indicateurs de qualité,2018 ; 2019 ; 2020,R,,,,Q541691,181,,Conception & Développement,Qualité et sécurité du code source,,MIMDEV,7.9
134,SonarQube Plugins : FindBugs,Tableau de bord d'indicateurs de qualité,2018 ; 2019 ; 2020,R,SonarQube,,,,307,,Conception & Développement,Qualité et sécurité du code source,,MIMDEV,6.7 (à confirmer)
135,Spring Boot,Environnement de développement,2018 ; 2019 ; 2020,O,,,,,172,Apache-2.0,Conception & Développement,Aide au développement,,MIMDEV,2.X
136,Squash TF,Automatisation des tests,2018 ; 2019 ; 2020,R,,,,,189,LGPL-3.0-only,Conception & Développement,Test & Intégration,,MIMDEV,1.21.0
137,Squash TM,Gestion des campagnes de tests,2018 ; 2019 ; 2020,R,,,,,190,,Conception & Développement,Test & Intégration,,MIMDEV,1.21.1
138,Squid,Proxy,2018 ; 2019 ; 2020,R,,,,Q841783,159,,Réseau,Serveur Web & Reverse Proxy,Services déconcentrés,MIMPROD,Distribution
139,SumatraPDF,Lecture simple de fichier PDF,2018 ; 2019 ; 2020,R,,,,Q479808,57,GPL-3.0-only,Espace utilisateur et canal,Consultation et édition de documents,Sans remplissage de formulaire ni vérification de signature,MIMO,3.1.2
140,Swarm,Orchestration,2018 ; 2019 ; 2020,O,,,,Q7653883,230,,Opérations,Outils système & virtualisation,Conteneurs,MIMPROD,Distribution
141,Swift (OpenStack),Stockage Objet,2018 ; 2019 ; 2020,R,,,,,,,Stockage,Sauvegarde Serveur,Services déconcentrés,MIMPROD,Distribution
142,Sympa,Liste de diffusion/discussion,2019 ; 2020,R,,,,Q1850168,281,,Espace utilisateur et canal,Messagerie agenda contacts,Version 6.2.48 utilisée sur le réseau RENATER,MIMO,
143,Syslog-ng,Gestion des logs en mode centralisé,2018 ; 2019 ; 2020,R,,,,Q467865,242,,Sécurité,Gestion des logs,Serveur Bureautique,MIMPROD,Distribution
144,Talend Open Studio for Data Integration (BASIC),Reprise des données,2018 ; 2019 ; 2020,R,,,,Q17097860,196,,Conception & Développement,Test & Intégration,Outil d'automatisation de la reprise de données,MIMDEV,7.2.1
145,Tanaguru,Vérification de la conformité de l'application aux règles d'accessibilité,2018 ; 2019 ; 2020,O,,,,,305,,Conception & Développement,Qualité et sécurité du code source,,MIMDEV,6.0.0
146,Testlink,Gestion des campagnes de tests,2018 ; 2019 ; 2020,R,,,,Q248384,191,,Conception & Développement,Test & Intégration,,MIMDEV,1.9.14
147,Thunderbird,Courrielleur,2018 ; 2019 ; 2020,R,,,,Q483604,80,MPL-2.0,Espace utilisateur et canal,Messagerie agenda contacts,Courrielleur,MIMO,68
148,TimeLineTicket,Affichage graphique des délais de prise en compte des incidents + indicateurs sous forme de rapports,2018 ; 2019 ; 2020,O,GLPI,,,,96,GPL-2.0-only,Opérations,Service level management,Gestion des tickets,MIMO,9.3+1.1
149,uBlock Origin,Bloqueur des publicités et des pisteurs,2018 ; 2019 ; 2020,R,Firefox,,,Q19881587,288,GPL-3.0,Espace utilisateur et canal,Navigateur web,,MIMO,1.24.2
150,uMap,Informations géographiques,2019 ; 2020,O,,,,,292,,Orchestration et logique métier,Moteur SIG,,MIMO,
151,Uninstall,Désinstallation d’objets inventoriés,2018 ; 2019 ; 2020,R,GLPI,,,,94,GPL-2.0-only,Opérations,Déploiement gestion d’actif et de configuration,Gestion parc,MIMO,2.6.2
152,Varnish,Cache web,2018 ; 2019 ; 2020,R,,,,Q1602447,214,,Réseau,Serveur Web & Reverse Proxy,Services déconcentrés,MIMPROD,Distribution
153,Vault,Stockage Securisé,2019 ; 2020,O,,,,Q4052619,312,,Stockage,Sauvegarde Serveur,Services déconcentrés,MIMPROD,
154,VeraCrypt,Chiffrement de disques,2018 ; 2019 ; 2020,O,,,,Q19911889,51,AGPL-3.0,Sécurité,Chiffrement,,MIMO,1.24
